#SAMPLE_ID	SAMPLE_TYPE	1	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536
A4-i101	paired	2055666	1143920	205620	4704	17	4	7	1	1	0	0	0	0	0	0	0	0
A5-S10	paired	909170	96349	4602	3220	3441	9413	4571	8846	3052	5	1	1	0	0	0	0	0
A5-S12	paired	368134	170628	171193	267678	182592	4903	27	2	1	1	0	0	0	0	0	0	0
A5-S11	paired	337759	199468	245846	239721	33270	170	8	4	1	1	0	0	0	1	0	0	0
A5-S14	paired	415150	101278	83653	108568	119484	26911	131	5	6	2	2	1	0	0	0	0	0
A5-S13	paired	351068	205197	256652	300795	126281	3106	25	9	4	4	1	6	1	0	1	0	0
A5-S16	paired	763877	244636	265700	307528	142832	9910	24	2	2	0	1	0	0	0	1	0	0
A5-S15	paired	427532	49032	18228	18568	21605	28930	39211	8428	18	1	0	0	0	0	0	0	0
A5-S1	paired	1998029	1543522	500152	26461	142	25	11	7	1	1	1	1	1	2	0	0	0
A5-S2	paired	1442261	1172045	343021	13172	37	14	11	2	3	0	1	0	0	0	1	0	0
A5-S3	paired	485654	89109	67110	87414	104329	12434	37	3	2	3	1	1	1	0	0	0	0
A5-S4	paired	1172188	1105380	618994	75663	712	27	10	3	1	1	1	0	0	1	0	0	0
A5-S5	paired	1105540	1183827	641267	63841	444	22	8	5	1	0	0	0	0	0	0	0	0
A5-S6	paired	2434439	1073886	118815	1004	20	19	7	2	1	2	0	1	2	0	1	0	0
A5-S7	paired	955865	857874	393250	32211	148	15	1	1	0	0	0	0	0	0	0	0	0
A5-S8	paired	1303275	1175949	491088	35435	185	39	16	13	7	5	1	1	1	0	0	0	0
A5-S9	paired	532104	47039	3529	2217	2625	2527	2642	1663	77	7	9	10	3	0	0	0	0
A5-S19	paired	1013801	659878	160229	5183	228	101	36	13	5	4	2	1	0	0	0	0	0
A5-S18	paired	1272607	1272525	599431	48687	287	35	8	2	1	0	1	0	1	0	0	0	0
A5-S17	paired	2759700	1552137	255922	4256	18	9	1	2	0	0	0	0	0	0	0	0	0
A5-S24	paired	490077	512975	644398	265313	13207	186	60	17	8	5	1	2	0	0	0	0	0
A5-S22	paired	78068	18005	12616	13096	13758	9447	1119	184	76	28	15	9	1	0	1	0	0
A5-S23	paired	1096717	556752	77674	1191	88	48	13	5	1	2	1	0	0	0	0	0	0
A5-S20	paired	162518	67952	87434	90196	57084	6901	304	65	42	21	17	4	2	1	1	0	0
A5-S21	paired	1009314	496144	72686	1567	233	70	26	13	4	2	4	0	0	0	0	0	0
A6-I214ob	paired	325483	200304	220930	258742	97569	1648	12	4	2	1	0	0	0	0	0	0	0
A6-I201ob	paired	683953	512523	633972	442592	36792	163	6	1	0	1	0	0	0	0	0	0	0
A6-I211ob	paired	556884	413282	488647	418234	67592	597	1	0	0	1	0	0	0	0	0	0	0
A6-I208ob	paired	2523487	1119969	127483	1087	16	8	2	1	0	0	0	0	0	0	0	0	0
A6-I204ob	paired	2345862	1701414	470985	17624	32	5	2	1	1	0	0	0	0	0	0	0	0
A6-I207ob	paired	1608125	1399577	536373	32377	142	20	13	4	2	1	0	0	0	0	0	0	0
A6-I200ob	paired	1604739	2327685	3218403	1805856	232247	1898	24	8	2	1	1	0	0	0	0	0	0
A6-I205ob	paired	186817	85008	92283	108656	135884	12263	25	0	1	0	0	0	0	0	0	0	0
