lbl	x	y
11	-0.0910398711207601	-0.200052212483822
9	-0.0407053259503526	-0.3861824008408
6	-0.0086492255745488	-0.0952847433462791
16	-0.112273020197327	-0.171697538963974
16	-0.144421107908942	-0.106286705482689
10	-0.163944867937383	-0.440651957764373
74	-0.753627838236033	-1.02953229311215
75	0.0125956454915991	-0.271758473461127
73	-0.0783247722726838	-0.670998416161364
71	-0.00456806994603028	-0.576921964453537
36	-0.0839541321997622	-0.0183967875880128
43	-0.237268484559341	-0.183128826100147
43	-0.0372438240819433	-0.150355075294942
39	-0.27619386829573	0.0235000926648029
34	-0.172766320766786	0.0262960482039178
86	-0.412125789339265	-0.280355628612109
87	-0.677062159388107	-0.529800619343477
36	0.0805745199065956	0.490777288033205
37	-1.14829485869664	0.368374763950334
43	-0.515809979330317	0.903400275471011
39	0.0526743766820849	0.903400275471011
43	-0.155236000038704	0.17140341569468
89	-0.355335084910095	0.449167466253712
85	-1.06917403551365	0.903400275471011
66	0.0874201320744387	0.903400275471011
64	-1.14829485869664	0.903400275471011
90	-0.0939848982483601	0.903400275471011
62	-0.709176815328633	0.438358783470342
87	-1.14829485869664	0.064713841759296
87	-1.14829485869664	0.903400275471011
61	-1.03920396034371	0.211635351744566
61	0.285004138370167	0.814966858098377
61	0.0677425536592703	0.903400275471011
61	-1.14829485869664	0.687592193598492
25	0.231343424970352	-0.0579450420655056
22	-0.0745534787746224	0.267664418133588
24	0.00504561950876026	0.0323221663492345
20	-0.519994166349788	0.893525212328607
21	-0.0303699870289535	0.181466575783385
103	1.31209330205759	-0.0539887070360119
89	1.31209330205759	-0.344330780619386
0	0.0169391153294502	0.0236936343383909
0	0.0684084709217779	-0.0482148501659313
0	0.010462288117088	0.00928881646278411
0	0.109389351790808	-0.0205737605325551
0	0.498073608561025	-0.160376653493319
0	0.0904791558916226	-0.0275659837472739
0	-0.0233565263754874	0.0316006826683245
0	-0.026006851085671	0.0122324122315762
55	0.273864476257281	-0.0710194327381097
100	1.31209330205759	-0.945429977309914
51	1.24719090442603	0.510073978238992
51	0.304189080832649	0.0397992078510485
51	1.31209330205759	-1.02953229311215
50	1.25486758308933	0.831810420279594
50	0.114224419789435	-0.106762986062937
98	1.31209330205759	-0.879556483934512
93	0.485046921821284	-0.314139045871499
92	1.31209330205759	0.264919748467348
92	0.938236598837508	-1.02953229311215
90	1.31209330205759	-0.398724867661269
51	0.587198114655576	0.578548978711582
51	0.237784222135398	0.184680545940912
30	-0.0739705319617301	-0.0813954631736344
99	-1.14829485869664	-1.02953229311215
95	-0.26483585497533	-1.02953229311215
95	-1.01378797900796	-1.02953229311215
94	-1.14829485869664	-0.709881556293858
93	1.31209330205759	-0.39328790006894
92	0.134921738306089	-1.02953229311215
91	-1.14829485869664	-0.418219374577833
88	-0.36176237453297	-1.02953229311215
51	0.105674435200481	0.167890639031438
